_id,Fecha,Hora,Latitud,Longitud,Profundidad,Intensidad
ObjectId("5de9179e1c149bff06cf88bf"),2019-12-05,03:01:07,16.68,-93.8,166.0 km,3.9
ObjectId("5de9179e1c149bff06cf88c1"),2019-12-05,02:51:33,16.49,-98.48,21.0 km,3.2
ObjectId("5de9179e1c149bff06cf88c3"),2019-12-05,02:31:12,16.2,-97.58,10.0 km,3.4
ObjectId("5de9179e1c149bff06cf88c5"),2019-12-05,02:21:35,20.32,-105.4,36.0 km,3.5
ObjectId("5de9179e1c149bff06cf88c7"),2019-12-05,02:21:03,16.99,-99.5,37.0 km,3.2
ObjectId("5de9179e1c149bff06cf88c9"),2019-12-05,02:02:24,13.89,-93.38,10.0 km,4
ObjectId("5de9179e1c149bff06cf88cb"),2019-12-05,01:31:01,16.22,-98.08,8.0 km,3
ObjectId("5de9179e1c149bff06cf88cd"),2019-12-05,01:18:41,15.98,-97.93,16.0 km,3.1
ObjectId("5de9179e1c149bff06cf88cf"),2019-12-05,01:08:33,16.12,-97.59,11.0 km,3.5
ObjectId("5de9179e1c149bff06cf88d1"),2019-12-05,00:58:48,17.6,-104.03,16.0 km,3.7
ObjectId("5dea6b7f1c149bff06cf8b87"),2019-12-06,04:56:53,16.16,-97.52,11.0 km,3.5
ObjectId("5dea6b7f1c149bff06cf8b89"),2019-12-06,04:53:16,15.24,-94.63,25.0 km,3.8
ObjectId("5dea6b7f1c149bff06cf8b8b"),2019-12-06,04:48:16,16.95,-95.41,98.0 km,3.2
ObjectId("5dea6b7f1c149bff06cf8b8d"),2019-12-06,04:33:03,17.17,-99.89,42.0 km,4.2
ObjectId("5dea6b7f1c149bff06cf8b8f"),2019-12-06,04:21:05,15.3,-95.46,18.0 km,3.7
ObjectId("5dea6b7f1c149bff06cf8b91"),2019-12-06,03:35:51,18.03,-98.04,56.0 km,3.7
ObjectId("5dea6b7f1c149bff06cf8b93"),2019-12-06,03:25:02,17.2,-94.9,131.0 km,3.8
ObjectId("5dea6b7f1c149bff06cf8b95"),2019-12-06,03:07:18,16.32,-98.01,3.0 km,3.8
ObjectId("5dea6b7f1c149bff06cf8b97"),2019-12-06,02:45:06,14.66,-93.13,96.0 km,3.7
ObjectId("5dea6b7f1c149bff06cf8b99"),2019-12-06,01:42:09,16.05,-98.65,16.0 km,3.7
ObjectId("5dea6b7f1c149bff06cf8b9b"),2019-12-06,01:39:48,15.7,-95.08,47.0 km,4
ObjectId("5dea6b7f1c149bff06cf8b9d"),2019-12-06,01:35:33,16.88,-94.58,120.0 km,3.9
ObjectId("5dea6b7f1c149bff06cf8b9f"),2019-12-06,01:26:56,16.31,-97.86,10.0 km,3.6
ObjectId("5dea6b7f1c149bff06cf8ba1"),2019-12-06,00:54:53,16.56,-98.47,5.0 km,3.3
ObjectId("5dea6b7f1c149bff06cf8ba3"),2019-12-06,00:30:31,16.97,-93.74,192.0 km,3.9
ObjectId("5debf1b5373b6cc5167c6647"),2019-12-07,12:16:11,15.53,-96.48,5.0 km,4.2
ObjectId("5debf1b5373b6cc5167c6649"),2019-12-07,07:41:20,16.13,-95.37,28.0 km,4
ObjectId("5debf1b5373b6cc5167c664b"),2019-12-07,04:44:44,15.27,-94.69,24.0 km,3.8
ObjectId("5debf1b5373b6cc5167c664d"),2019-12-07,04:10:59,15.23,-94.61,16.0 km,4
